,County,State,Rank,Population,latitude,longitude
0,Autauga County,AL,907,"55,514",32.52496067,-86.62950533
1,Baldwin County,AL,332,"190,790",30.60740186,-87.71802723
2,Barbour County,AL,1523,"27,201",31.813697,-85.481079
3,Bibb County,AL,1707,"22,597",33.03272838,-87.08073063
4,Blount County,AL,882,"57,826",33.95194386,-86.582932
5,Bullock County,AL,2397,"10,474",32.1174995,-85.7235275
6,Butler County,AL,1825,"20,307",31.6921958,-86.7032796
7,Calhoun County,AL,518,"117,296",33.7732412,-85.8452838
8,Chambers County,AL,1327,"34,064",32.8801192,-85.3072474
9,Cherokee County,AL,1562,"26,021",34.1930998,-85.6118958
10,Chilton County,AL,1090,"43,819",32.84193383,-86.751174
11,Choctaw County,AL,2206,"13,633",32.06983425,-88.21425163
12,Clarke County,AL,1601,"25,161",31.70306033,-87.85249967
13,Clay County,AL,2217,"13,435",33.24731133,-85.862191
14,Cleburne County,AL,2122,"14,832",33.6815862,-85.4502488
15,Coffee County,AL,965,"51,252",31.3851404,-86.009877
16,Colbert County,AL,918,"54,446",34.7053682,-87.7199112
17,Conecuh County,AL,2241,"12,981",31.4245755,-87.098293
18,Coosa County,AL,2362,"10,966",32.9465996,-86.1511956
19,Covington County,AL,1225,"37,955",31.173474,-86.4292676
20,Crenshaw County,AL,2169,"14,083",31.71421375,-86.318535
21,Cullman County,AL,686,"80,440",34.1240178,-86.8532274
22,Dale County,AL,972,"50,444",31.38703911,-85.61845133
23,Dallas County,AL,1115,"42,864",32.3308275,-87.124658
24,DeKalb County,AL,752,"71,080",34.46109285,-85.82489254
25,Elmore County,AL,685,"80,629",32.60650078,-86.18647956
26,Escambia County,AL,1223,"37,994",31.131386,-87.3069015
27,Etowah County,AL,564,"104,392",34.03996917,-86.15507
28,Fayette County,AL,1984,"16,983",33.7203974,-87.776232
29,Franklin County,AL,1393,"31,761",34.41525983,-87.91635033
30,Geneva County,AL,1532,"26,931",31.11804978,-85.79162644
31,Greene County,AL,2529,"8,876",32.7550295,-87.9154365
32,Hale County,AL,2081,"15,388",32.72238667,-87.64093867
33,Henry County,AL,1964,"17,287",31.4573675,-85.25104575
34,Houston County,AL,566,"103,402",31.16724713,-85.25142988
35,Jackson County,AL,938,"53,019",34.77580894,-85.9862775
36,Jefferson County,AL,93,"660,009",33.59211407,-86.86547122
37,Lamar County,AL,2156,"14,259",33.79728267,-88.081859
38,Lauderdale County,AL,625,"92,542",34.90056057,-87.54953286
39,Lawrence County,AL,1330,"33,838",34.5829636,-87.3504684
40,Lee County,AL,428,"147,257",32.5977982,-85.3471552
41,Limestone County,AL,648,"87,654",34.815304,-86.97633967
42,Lowndes County,AL,2370,"10,857",32.13299625,-86.59071125
43,Macon County,AL,1812,"20,535",32.374418,-85.7630255
44,Madison County,AL,192,"343,080",34.77314217,-86.54459783
45,Marengo County,AL,1821,"20,401",32.2831121,-87.7932086
46,Marion County,AL,1422,"30,327",34.10567567,-87.82450533
47,Marshall County,AL,612,"94,776",34.34149638,-86.312964
48,Mobile County,AL,165,"413,936",30.67849016,-88.18566842
49,Monroe County,AL,1706,"22,602",31.54556767,-87.365542
50,Montgomery County,AL,279,"230,149",32.189773,-86.1920843
51,Morgan County,AL,506,"120,395",34.478371,-86.86006878
52,Perry County,AL,2426,"10,181",32.548815,-87.375108
53,Pickens County,AL,1860,"19,405",33.3013615,-88.065863
54,Pike County,AL,1349,"33,182",31.7914115,-85.94809625
55,Randolph County,AL,1701,"22,675",33.33003683,-85.43252217
56,Russell County,AL,883,"57,820",32.26827063,-85.16517225
57,St. Clair County,AL,661,"85,237",33.67666783,-86.32701567
58,Shelby County,AL,313,"200,941",33.26011474,-86.67015047
59,Sumter County,AL,2218,"13,427",32.60788825,-88.19834775
60,Talladega County,AL,678,"81,762",33.35186225,-86.21142075
61,Tallapoosa County,AL,1148,"41,168",32.8761575,-85.76263917
62,Tuscaloosa County,AL,321,"198,596",33.23196757,-87.5332135
63,Walker County,AL,795,"66,221",33.78523813,-87.28071813
64,Washington County,AL,1970,"17,109",31.391596,-88.18371386
65,Wilcox County,AL,2333,"11,431",32.01485638,-87.30717015
66,Winston County,AL,1637,"24,108",34.13798275,-87.40222588
111,Arkansas County,AR,1880,"18,892",34.317439,-91.300762
112,Ashley County,AR,1752,"21,524",33.21785514,-91.68829671
113,Baxter County,AR,1153,"41,048",36.3495548,-92.3905477
114,Benton County,AR,278,"232,268",36.36254541,-94.28728388
115,Boone County,AR,1238,"37,327",36.3114745,-93.05043563
116,Bradley County,AR,2336,"11,397",33.47459975,-92.19609625
117,Calhoun County,AR,2818,"5,307",33.60984667,-92.537448
118,Carroll County,AR,1508,"27,610",36.391863,-93.5954778
119,Chicot County,AR,2332,"11,433",33.30875675,-91.31364425
120,Clark County,AR,1692,"22,936",34.01909686,-93.17615243
121,Clay County,AR,2066,"15,684",36.37415573,-90.44106836
122,Cleburne County,AR,1575,"25,808",35.5684027,-92.0130976
123,Cleveland County,AR,2554,"8,627",33.88371867,-92.20752433
124,Columbia County,AR,1625,"24,473",33.23180833,-93.24574183
125,Conway County,AR,1768,"21,287",35.271394,-92.67666689
126,Craighead County,AR,590,"99,735",35.83956245,-90.59616309
127,Crawford County,AR,840,"61,946",35.5810266,-94.2622873
128,Crittenden County,AR,977,"50,021",35.239998,-90.28636911
129,Cross County,AR,1935,"17,683",35.31985029,-90.77193343
130,Dallas County,AR,2600,"7,987",33.98148325,-92.65709325
131,Desha County,AR,2271,"12,545",33.7584005,-91.33901517
132,Drew County,AR,1886,"18,743",33.639211,-91.72390125
133,Faulkner County,AR,512,"118,704",35.18902289,-92.32909067
134,Franklin County,AR,1919,"18,045",35.4099605,-93.8641295
135,Fulton County,AR,2287,"12,318",36.4112946,-91.7628524
136,Garland County,AR,604,"96,903",34.56722057,-93.08703871
137,Grant County,AR,1921,"17,986",34.2590778,-92.49303
138,Greene County,AR,1104,"43,163",36.131094,-90.60767943
139,Hempstead County,AR,1716,"22,373",33.79259414,-93.69986286
140,Hot Spring County,AR,1343,"33,394",34.30872583,-93.0208525
141,Howard County,AR,2195,"13,735",34.0264886,-93.9783848
142,Independence County,AR,1245,"37,025",35.71740207,-91.5626746
143,Izard County,AR,2214,"13,474",36.104774,-91.99505643
144,Jackson County,AR,1943,"17,600",35.59296722,-91.17113156
145,Jefferson County,AR,732,"74,723",34.32336842,-91.90992342
146,Johnson County,AR,1568,"25,901",35.48345571,-93.48858814
147,Lafayette County,AR,2647,"7,447",33.2973258,-93.54167
148,Lawrence County,AR,1979,"17,012",36.04369629,-91.13686807
149,Lee County,AR,2424,"10,216",34.79731483,-90.80914517
150,Lincoln County,AR,2168,"14,101",34.02652025,-91.6850655
151,Little River County,AR,2248,"12,919",33.73388717,-94.2092805
152,Logan County,AR,1732,"21,983",35.25342867,-93.66002022
153,Lonoke County,AR,761,"69,839",34.77814267,-91.89366267
154,Madison County,AR,2070,"15,645",36.0308235,-93.7415015
155,Marion County,AR,2006,"16,568",36.30647971,-92.66716729
156,Miller County,AR,1095,"43,634",33.3627435,-93.91033175
157,Mississippi County,AR,1057,"45,562",35.71387081,-90.0714135
158,Monroe County,AR,2612,"7,828",34.724257,-91.2125385
159,Montgomery County,AR,2487,"9,340",34.57050086,-93.66107114
160,Nevada County,AR,2526,"8,925",33.74636067,-93.33751267
161,Newton County,AR,2595,"8,086",35.99256975,-93.111606
162,Ouachita County,AR,1593,"25,396",33.570667,-92.896381
163,Perry County,AR,2410,"10,339",35.0077626,-92.7649504
164,Phillips County,AR,1790,"20,784",34.44049877,-90.84976892
165,Pike County,AR,2340,"11,247",34.13436833,-93.66579333
166,Poinsett County,AR,1633,"24,307",35.56964022,-90.62866822
167,Polk County,AR,1817,"20,471",34.424573,-94.276157
168,Pope County,AR,832,"62,765",35.4491795,-93.0298265
169,Prairie County,AR,2568,"8,458",34.752735,-91.522003
170,Pulaski County,AR,172,"388,953",34.73643307,-92.28337171
171,Randolph County,AR,1924,"17,930",36.34941614,-90.97098186
172,St. Francis County,AR,1500,"27,858",35.0187631,-90.8162842
173,Saline County,AR,539,"111,845",34.5887268,-92.6176214
174,Scott County,AR,2357,"11,010",34.95137967,-94.13745767
175,Searcy County,AR,2599,"8,007",35.89225225,-92.643414
176,Sebastian County,AR,484,"127,304",35.16042463,-94.29591788
177,Sevier County,AR,1966,"17,177",33.9851618,-94.2420232
178,Sharp County,AR,1975,"17,054",36.13966013,-91.51642488
179,Stone County,AR,2263,"12,663",35.8698925,-92.0830505
180,Union County,AR,1157,"40,867",33.22157638,-92.58869225
181,Van Buren County,AR,1978,"17,030",35.5540928,-92.3963824
182,Washington County,AR,297,"211,411",35.98870606,-94.25659975
183,White County,AR,700,"78,493",35.24824376,-91.74251953
184,Woodruff County,AR,2674,"7,100",35.1819816,-91.2682666
185,Yell County,AR,1733,"21,932",35.077577,-93.291211
96,Apache County,AZ,743,"73,195",35.071127,-109.4070921
97,Cochise County,AZ,473,"132,088",31.73853145,-109.9551656
98,Coconino County,AZ,457,"136,011",35.925651,-111.6826806
99,Gila County,AZ,936,"53,144",33.5897562,-110.9124606
100,Graham County,AZ,1236,"37,416",32.91265075,-109.7953495
101,Greenlee County,AZ,2534,"8,802",33.007195,-109.2674218
102,La Paz County,AZ,1826,"20,281",33.83333,-114.0643338
103,Maricopa County,AZ,4,"3,942,169",33.40179375,-111.8783783
104,Mohave County,AZ,309,"203,334",35.33255724,-114.1223505
105,Navajo County,AZ,555,"107,094",34.687809,-110.2070674
106,Pima County,AZ,42,"992,394",32.13058378,-111.0169477
107,Pinal County,AZ,173,"387,365",32.92378072,-111.3673493
108,Santa Cruz County,AZ,1022,"47,303",31.58256075,-110.8790085
109,Yavapai County,AZ,296,"212,637",34.61734218,-112.2862716
110,Yuma County,AZ,316,"200,022",32.65789488,-114.2800719
186,Alameda County,CA,21,"1,554,720",37.70346269,-122.0788253
187,Alpine County,CA,3104,"1,129",38.673376,-120.058845
188,Amador County,CA,1244,"37,035",38.45098808,-120.7240863
189,Butte County,CA,285,"221,539",39.61583418,-121.5621635
190,Calaveras County,CA,1074,"44,742",38.20969157,-120.5618666
191,Colusa County,CA,1761,"21,411",39.19264638,-122.1746394
192,Contra Costa County,CA,38,"1,079,597",37.93047938,-122.0324622
193,Del Norte County,CA,1479,"28,290",41.8170204,-124.0454134
194,El Dorado County,CA,351,"180,561",38.77702822,-120.6542365
195,Fresno County,CA,49,"947,895",36.70545138,-119.73669
196,Glenn County,CA,1495,"27,992",39.59722329,-122.1966626
197,Humboldt County,CA,465,"134,827",40.60173618,-123.9447292
198,Imperial County,CA,356,"176,948",33.00531207,-115.3972269
199,Inyo County,CA,1896,"18,495",36.57097333,-117.701317
200,Kern County,CA,61,"856,158",35.42105422,-118.4048908
201,Kings County,CA,417,"151,364",36.15295043,-119.8385534
202,Lake County,CA,820,"63,983",39.03912743,-122.7740609
203,Lassen County,CA,1335,"33,658",40.52599043,-120.562801
204,Los Angeles County,CA,1,"9,962,789",33.90057097,-118.1520172
205,Madera County,CA,413,"152,218",37.2049301,-119.7664256
206,Marin County,CA,258,"256,069",38.01100712,-122.6625898
207,Mariposa County,CA,1925,"17,905",37.57163363,-119.9617976
208,Mendocino County,CA,651,"87,428",39.32674289,-123.4890966
209,Merced County,CA,254,"262,305",37.28680056,-120.6422684
210,Modoc County,CA,2490,"9,327",41.42193525,-120.639806
211,Mono County,CA,2145,"14,348",38.02781643,-119.1236427
212,Monterey County,CA,161,"426,762",36.41434652,-121.4708963
213,Napa County,CA,450,"139,045",38.51790422,-122.4151359
214,Nevada County,CA,597,"98,292",39.28586464,-120.7488268
215,Orange County,CA,6,"3,090,132",33.61004983,-117.7197254
216,Placer County,CA,184,"361,682",39.04399446,-120.8055712
217,Plumas County,CA,1861,"19,399",39.9564715,-120.8372124
218,Riverside County,CA,11,"2,268,783",33.7277179,-116.4534331
219,Sacramento County,CA,25,"1,450,121",38.49019209,-121.3707725
220,San Benito County,CA,894,"56,884",36.75204175,-121.3146318
221,San Bernardino County,CA,12,"2,081,313",34.45183904,-116.2422784
222,San Diego County,CA,5,"3,177,063",32.8514448,-117.1028545
223,"San Francisco, City and County of",CA,67,"825,863",37.784827,-122.727802
224,San Joaquin County,CA,87,"702,612",37.96905856,-121.1991691
225,San Luis Obispo County,CA,241,"274,804",35.41417785,-120.6584821
226,San Mateo County,CA,82,"739,311",37.49556763,-122.3499067
227,Santa Barbara County,CA,157,"431,249",34.66675429,-120.0693921
228,Santa Clara County,CA,16,"1,837,504",37.19986513,-121.7255103
229,Santa Cruz County,CA,249,"266,776",37.05921015,-122.0193834
230,Shasta County,CA,354,"178,586",40.72713338,-122.0951697
231,Sierra County,CA,2970,"3,086",39.56006629,-120.6099824
232,Siskiyou County,CA,1083,"44,154",41.61166455,-122.6457298
233,Solano County,CA,162,"420,757",38.2442405,-121.9448974
234,Sonoma County,CA,137,"491,829",38.46535038,-122.9235009
235,Stanislaus County,CA,125,"521,726",37.59126276,-120.9221389
236,Sutter County,CA,611,"95,022",38.9990665,-121.6645333
237,Tehama County,CA,825,"63,406",40.13041931,-122.0785394
238,Trinity County,CA,2212,"13,526",40.6616611,-123.0758042
239,Tulare County,CA,147,"451,977",36.23461603,-119.1052265
240,Tuolumne County,CA,924,"54,008",37.97699013,-120.2119756
241,Ventura County,CA,64,"835,981",34.27310517,-119.0352647
242,Yolo County,CA,307,"204,118",38.71487544,-121.9250746
243,Yuba County,CA,745,"72,926",39.315632,-121.2884122
244,Adams County,CO,145,"459,598",39.8567119,-104.7596873
245,Alamosa County,CO,2034,"16,148",37.60338067,-105.812572
246,Arapahoe County,CO,108,"595,546",39.654855,-104.588537
247,Archuleta County,CO,2295,"12,070",37.173082,-107.145211
248,Baca County,CO,2926,"3,751",37.34294033,-102.5426158
249,Bent County,CO,2782,"5,773",37.9806615,-103.015716
250,Boulder County,CO,213,"305,318",40.07931757,-105.3160127
251,"Broomfield, City and County of",CO,879,"58,298",38.71840717,-106.1915062
252,Chaffee County,CO,1913,"18,150",38.82650725,-102.6535915
253,Cheyenne County,CO,3068,"1,874",39.7293976,-105.6707984
254,Clear Creek County,CO,2519,"9,026",37.20282129,-106.01636
255,Conejos County,CO,2588,"8,275",37.25221743,-105.4708121
256,Costilla County,CO,2937,"3,594",38.29750675,-103.78426
257,Crowley County,CO,2814,"5,365",38.108415,-105.2848065
258,Custer County,CO,2888,"4,249",38.8365959,-107.8409976
259,Delta County,CO,1421,"30,432",39.726303,-104.856808
260,"Denver, City and County of",CO,98,"634,265",37.70675433,-108.582805
261,Dolores County,CO,3054,"1,994",39.36721014,-104.9100649
262,Douglas County,CO,221,"298,215",39.65588933,-106.6570619
263,Eagle County,CO,957,"51,874",38.91987077,-104.6379715
264,Elbert County,CO,1669,"23,383",39.27791283,-104.2462262
265,El Paso County,CO,97,"644,964",38.38222911,-105.4315142
266,Fremont County,CO,1030,"46,788",39.50695629,-107.700387
267,Garfield County,CO,891,"56,953",39.84047333,-105.523051
268,Gilpin County,CO,2806,"5,491",40.03600688,-105.9739819
269,Grand County,CO,2163,"14,195",38.6506245,-106.8737019
270,Gunnison County,CO,2077,"15,475",38.026256,-107.276581
271,Hinsdale County,CO,3118,810,37.67051233,-105.195782
272,Huerfano County,CO,2715,"6,596",40.5722355,-106.3113643
273,Jackson County,CO,3092,"1,348",39.61718329,-105.2141369
274,Jefferson County,CO,117,"545,358",38.43816325,-102.9142575
275,Kiowa County,CO,3085,"1,444",39.31097667,-102.66238
276,Kit Carson County,CO,2594,"8,094",37.2046602,-107.9080286
277,Lake County,CO,2651,"7,338",39.19825133,-106.3642143
278,La Plata County,CO,949,"52,401",40.59436677,-105.356111
279,Larimer County,CO,209,"310,487",37.26808809,-104.3400759
281,Lincoln County,CO,2809,"5,453",39.1071558,-103.4702418
282,Logan County,CO,1703,"22,631",40.72715138,-103.1583216
283,Mesa County,CO,424,"147,848",39.09186285,-108.4948922
284,Mineral County,CO,3128,709,37.761293,-106.981852
285,Moffat County,CO,2231,"13,200",40.5897628,-107.932327
286,Montezuma County,CO,1591,"25,431",37.43084286,-108.6031747
287,Montrose County,CO,1161,"40,725",38.356129,-108.3915688
288,Morgan County,CO,1470,"28,472",40.30870413,-103.8142028
289,Otero County,CO,1888,"18,698",38.02877367,-103.730325
290,Ouray County,CO,2867,"4,530",38.132559,-107.728036
291,Park County,CO,2045,"16,029",39.1768777,-105.7416875
292,Phillips County,CO,2877,"4,367",40.6018665,-102.4066428
293,Pitkin County,CO,1965,"17,263",39.2410832,-106.8363694
294,Prowers County,CO,2280,"12,389",38.0183464,-102.4122948
295,Pueblo County,CO,390,"160,852",38.119494,-104.5484865
296,Rio Blanco County,CO,2694,"6,857",39.9520975,-108.3471925
297,Rio Grande County,CO,2302,"11,943",37.61731175,-106.4315005
298,Routt County,CO,1674,"23,334",40.31845586,-106.9713084
299,Saguache County,CO,2739,"6,304",38.12978667,-106.061172
300,San Juan County,CO,3130,690,37.848391,-107.680381
301,San Miguel County,CO,2635,"7,580",37.9688412,-108.19474
302,Sedgwick County,CO,3017,"2,383",40.87562667,-102.3834883
303,Summit County,CO,1492,"28,044",39.5676525,-106.0594435
304,Teller County,CO,1668,"23,389",38.8509316,-105.1649786
305,Washington County,CO,2855,"4,766",39.86798533,-103.2269897
306,Weld County,CO,253,"263,691",40.39517473,-104.6425051
307,Yuma County,CO,2434,"10,119",39.92061243,-102.4855453
308,Fairfield County,CT,51,"933,835",41.23543164,-73.3791397
309,Hartford County,CT,57,"897,259",41.80521466,-72.75282757
310,Litchfield County,CT,338,"187,530",41.787451,-73.22323053
311,Middlesex County,CT,380,"165,602",41.45837573,-72.52907632
312,New Haven County,CT,60,"862,813",41.39854811,-72.95144993
313,New London County,CT,243,"274,170",41.48460792,-72.08450453
314,Tolland County,CT,416,"151,539",41.81806139,-72.34722789
315,Windham County,CT,516,"117,599",41.84027874,-71.96859069
316,Kent County,DE,373,"167,626",39.09317641,-75.57752176
317,New Castle County,DE,116,"546,076",39.63416018,-75.628791
318,Sussex County,DE,308,"203,390",38.65272543,-75.30541183
320,Alachua County,FL,263,"251,417",29.7051589,-82.3669268
321,Baker County,FL,1528,"27,086",30.3096595,-82.234791
322,Bay County,FL,363,"171,903",30.21643114,-85.62468071
323,Bradford County,FL,1529,"27,049",29.9422862,-82.1741776
324,Brevard County,FL,115,"547,307",28.22806194,-80.66269141
325,Broward County,FL,17,"1,815,137",26.14976483,-80.20679817
326,Calhoun County,FL,2127,"14,723",30.466579,-85.126146
327,Charlotte County,FL,386,"162,449",26.8933452,-82.1511654
328,Citrus County,FL,449,"139,360",28.853021,-82.4521866
329,Clay County,FL,327,"194,345",29.95548243,-81.85782329
330,Collier County,FL,197,"332,427",25.92430017,-81.35980133
331,Columbia County,FL,781,"67,966",30.158677,-82.657056
332,DeSoto County,FL,1308,"34,712",27.1949865,-81.837191
333,Dixie County,FL,2036,"16,126",29.55455325,-83.10679675
334,Duval County,FL,59,"879,602",30.32151225,-81.52772375
335,Escambia County,FL,215,"302,715",30.69782767,-87.350556
336,Flagler County,FL,596,"98,359",29.459369,-81.26667167
337,Franklin County,FL,2318,"11,686",29.82630575,-84.7503575
338,Gadsden County,FL,1039,"46,528",30.58467433,-84.619558
339,Gilchrist County,FL,1993,"16,815",29.711863,-82.8383795
340,Glades County,FL,2235,"13,107",26.91646,-81.2523445
341,Gulf County,FL,2061,"15,718",29.978942,-85.2252935
342,Hamilton County,FL,2128,"14,708",30.47904667,-82.96916567
343,Hardee County,FL,1513,"27,514",27.50719075,-81.81403625
344,Hendry County,FL,1234,"37,447",26.644573,-81.339894
345,Hernando County,FL,360,"173,422",28.5953195,-82.3321025
346,Highlands County,FL,598,"98,128",27.3557472,-81.3644772
347,Hillsborough County,FL,29,"1,277,746",27.91524128,-82.34577761
348,Holmes County,FL,1845,"19,804",30.86093225,-85.82805125
349,Indian River County,FL,446,"140,567",27.7348666,-80.508459
350,Jackson County,FL,1000,"48,968",30.82151473,-85.19252682
351,Jefferson County,FL,2157,"14,256",30.38157,-83.861403
352,Lafayette County,FL,2532,"8,804",30.0948725,-83.1670185
353,Lake County,FL,214,"303,186",28.77805176,-81.73093957
354,Lee County,FL,96,"645,293",26.57545443,-81.97477336
355,Leon County,FL,233,"283,769",30.3688885,-84.235388
356,Levy County,FL,1172,"40,025",29.26365556,-82.73614467
357,Liberty County,FL,2587,"8,276",30.35409,-84.913242
358,Madison County,FL,1878,"18,907",30.5128585,-83.3987905
359,Manatee County,FL,196,"333,895",27.47722362,-82.53157385
360,Marion County,FL,195,"335,125",29.24983221,-82.07442784
361,Martin County,FL,423,"148,817",27.1389682,-80.3044534
362,Miami-Dade County,FL,7,"2,591,035",25.78361467,-80.23743167
363,Monroe County,FL,730,"74,809",24.78392673,-81.06740273
364,Nassau County,FL,733,"74,629",30.5958512,-81.7822622
365,Okaloosa County,FL,333,"190,083",30.636708,-86.60722785
366,Okeechobee County,FL,1183,"39,467",27.420316,-80.945361
367,Orange County,FL,33,"1,202,234",28.57981677,-81.47848985
368,Osceola County,FL,229,"287,416",28.18354825,-81.35632775
369,Palm Beach County,FL,27,"1,356,545",26.56599163,-80.1143435
370,Pasco County,FL,141,"470,391",28.30193123,-82.47342746
371,Pinellas County,FL,53,"921,319",27.97030553,-82.7681814
372,Polk County,FL,105,"616,158",27.969076,-81.66074333
373,Putnam County,FL,741,"73,263",29.59448469,-81.72577969
374,St. Johns County,FL,312,"202,188",29.833285,-81.437841
375,St. Lucie County,FL,232,"283,866",27.36231,-80.4237455
376,Santa Rosa County,FL,397,"158,512",30.674234,-87.0215278
377,Sarasota County,FL,174,"386,147",27.16492443,-82.41862086
378,Seminole County,FL,158,"430,838",28.7133501,-81.2798388
379,Sumter County,FL,576,"101,620",28.75436788,-82.08349975
380,Suwannee County,FL,1094,"43,656",30.1390128,-82.9423148
381,Taylor County,FL,1697,"22,744",29.92339475,-83.52026225
382,Union County,FL,2091,"15,212",29.99803467,-82.326767
383,Volusia County,FL,135,"496,950",29.04760663,-81.23152288
384,Wakulla County,FL,1414,"30,818",30.1280492,-84.3807674
385,Walton County,FL,886,"57,582",30.69215817,-86.193771
386,Washington County,FL,1613,"24,892",30.6047752,-85.7142134
387,Appling County,GA,1903,"18,368",31.744012,-82.2728745
388,Atkinson County,GA,2586,"8,284",31.33522567,-82.88987933
389,Bacon County,GA,2346,"11,198",31.576952,-82.461197
390,Baker County,GA,2951,"3,366",31.37168,-84.338325
391,Baldwin County,GA,1042,"46,367",33.0474685,-83.2429915
392,Banks County,GA,1907,"18,316",34.36541,-83.503056
393,Barrow County,GA,760,"70,169",33.9825555,-83.709069
394,Bartow County,GA,583,"100,661",34.22817125,-84.84891438
395,Ben Hill County,GA,1946,"17,538",31.748753,-83.235412
396,Berrien County,GA,1871,"19,041",31.2713025,-83.25590975
397,Bibb County,GA,402,"156,462",32.827949,-83.595066
398,Bleckley County,GA,2249,"12,913",32.383904,-83.321095
399,Brantley County,GA,1893,"18,587",31.19838525,-81.94452325
400,Brooks County,GA,2079,"15,403",30.833057,-83.59060775
401,Bryan County,GA,1385,"32,214",32.04024367,-81.475017
402,Bulloch County,GA,746,"72,694",32.431842,-81.81385075
403,Burke County,GA,1684,"23,125",33.04114733,-81.95874817
404,Butts County,GA,1662,"23,524",33.29312333,-83.96937767
405,Calhoun County,GA,2723,"6,504",31.50156875,-84.63635475
406,Camden County,GA,963,"51,402",30.90613483,-81.67767517
407,Candler County,GA,2352,"11,117",32.4068645,-82.0674295
408,Carroll County,GA,540,"111,580",33.62058638,-85.07113038
409,Catoosa County,GA,810,"65,046",34.933485,-85.14484367
410,Charlton County,GA,2225,"13,295",30.64483,-82.0963895
411,Chatham County,GA,239,"276,434",32.06430175,-81.091539
412,Chattahoochee County,GA,2239,"13,037",32.292547,-84.736706
413,Chattooga County,GA,1578,"25,725",34.4818855,-85.37885425
414,Cherokee County,GA,286,"221,315",34.2521308,-84.4903162
415,Clarke County,GA,507,"120,266",33.9618185,-83.3229245
416,Clay County,GA,2967,"3,116",31.5968565,-84.954577
417,Clayton County,GA,251,"265,888",33.557461,-84.33097943
418,Clinch County,GA,2706,"6,718",31.03693425,-82.775995
419,Cobb County,GA,84,"707,442",33.91684043,-84.61489929
420,Coffee County,GA,1103,"43,170",31.5700118,-82.8273422
421,Colquitt County,GA,1046,"46,137",31.19533571,-83.77081043
422,Columbia County,GA,476,"131,627",33.5151322,-82.242509
423,Cook County,GA,1988,"16,923",31.1689805,-83.4198335
424,Coweta County,GA,478,"130,929",33.31974638,-84.70516838
425,Crawford County,GA,2266,"12,600",32.74325325,-83.9321485
426,Crisp County,GA,1658,"23,606",31.8833955,-83.7565325
427,Dade County,GA,2013,"16,490",34.86952967,-85.48408333
428,Dawson County,GA,1713,"22,422",34.453661,-84.155043
429,Decatur County,GA,1514,"27,509",30.8622366,-84.5703536
430,DeKalb County,GA,86,"707,089",33.7760777,-84.246262
431,Dodge County,GA,1766,"21,329",32.19524975,-83.13341875
432,Dooly County,GA,2149,"14,318",32.1701178,-83.8189018
433,Dougherty County,GA,613,"94,501",31.560674,-84.176751
434,Douglas County,GA,468,"133,971",33.70487033,-84.72323467
435,Early County,GA,2391,"10,594",31.25730475,-84.8689605
436,Echols County,GA,2907,"3,988",30.768894,-83.037116
437,Effingham County,GA,933,"53,293",32.299728,-81.346969
438,Elbert County,GA,1850,"19,684",34.15971967,-82.913824
439,Emanuel County,GA,1694,"22,898",32.53847957,-82.32667343
440,Evans County,GA,2381,"10,689",32.158937,-81.90720233
441,Fannin County,GA,1663,"23,492",34.8992578,-84.337855
442,Fayette County,GA,552,"107,524",33.4055274,-84.5184342
443,Floyd County,GA,607,"96,177",34.25921486,-85.20811814
444,Forsyth County,GA,337,"187,928",34.193041,-84.092588
445,Franklin County,GA,1737,"21,894",34.339872,-83.1783488
446,Fulton County,GA,43,"977,773",33.75281029,-84.49298257
447,Gilmer County,GA,1484,"28,190",34.69742067,-84.45574967
448,Glascock County,GA,2966,"3,142",33.227532,-82.615451
449,Glynn County,GA,682,"81,022",31.1755715,-81.422725
450,Gordon County,GA,905,"55,766",34.51894557,-84.86458086
451,Grady County,GA,1590,"25,440",30.824724,-84.29745633
452,Greene County,GA,2039,"16,092",33.553731,-83.1174675
453,Gwinnett County,GA,63,"842,046",33.95455409,-84.03059809
454,Habersham County,GA,1099,"43,520",34.59088783,-83.53422183
455,Hall County,GA,340,"185,416",34.336011,-83.81791875
456,Hancock County,GA,2522,"8,996",33.257068,-83.08922
457,Haralson County,GA,1473,"28,400",33.7874408,-85.22624
458,Harris County,GA,1373,"32,550",32.74652986,-84.83199057
459,Hart County,GA,1585,"25,518",34.372582,-82.9874565
460,Heard County,GA,2321,"11,633",33.2176095,-85.1523165
461,Henry County,GA,300,"209,053",33.451733,-84.16309575
462,Houston County,GA,435,"146,136",32.46398814,-83.68856414
463,Irwin County,GA,2463,"9,600",31.617688,-83.253958
464,Jackson County,GA,854,"60,571",34.13607471,-83.62111929
465,Jasper County,GA,2207,"13,630",33.35295025,-83.683552
466,Jeff Davis County,GA,2096,"15,156",31.801424,-82.667035
467,Jefferson County,GA,2016,"16,432",33.06953871,-82.42609114
468,Jenkins County,GA,2501,"9,213",32.826421,-81.924693
469,Johnson County,GA,2451,"9,897",32.667323,-82.5914005
470,Jones County,GA,1465,"28,577",33.024075,-83.496017
471,Lamar County,GA,1918,"18,057",33.106135,-84.1472005
472,Lanier County,GA,2404,"10,400",30.995219,-83.0562825
473,Laurens County,GA,1012,"48,041",32.44936971,-82.99164271
474,Lee County,GA,1456,"28,746",31.767894,-84.19145
475,Liberty County,GA,808,"65,471",31.80603771,-81.53841214
476,Lincoln County,GA,2624,"7,737",33.812714,-82.453456
477,Long County,GA,2043,"16,048",31.780996,-81.773916
478,Lowndes County,GA,527,"114,552",30.8350665,-83.24451925
479,Lumpkin County,GA,1419,"30,611",34.541371,-84.024387
480,McDuffie County,GA,1746,"21,663",32.34479625,-84.02066675
