,State,County,Votes_Norm,Trump_Votes,Hillary_Votes,Independent_Votes,Total_Votes,Trump_Perc,Hillary_Perc,Independent_Perc,Rank,Population,latitude,longitude,distance_100000,distance_300000,distance_500000,distance_1000000,Angle,Angle_Rad,Angle_Deg
0.0,AL,Autauga County,0.494,18110,5908,643,24661,73.4,24.0,2.6,907.0,55514.0,32.52496067,-86.62950533,55.46839409,120.3872279,120.3872279,656.514912,60.3961691983,1.0541120081,60.3961691983
1.0,AL,Baldwin County,0.578,72780,18409,2901,94090,77.4,19.6,3.1,332.0,190790.0,30.60740186,-87.71802723,0.0,36.62050965,340.6088321,601.2749876,54.6900041048,-0.954520639558,-54.6900041048
2.0,AL,Barbour County,0.056,5431,4848,111,10390,52.3,46.7,1.1,1523.0,27201.0,31.813697,-85.481079,74.92444351,216.8202146,234.1208871,526.2894526,-86.789756967,-1.51476701608,-86.789756967
3.0,AL,Bibb County,0.556,6733,1874,141,8748,77.0,21.4,1.6,1707.0,22597.0,33.03272838,-87.08073063,45.86250885,65.19938598,65.19938598,681.7525854,56.2203800494,0.981230738585,56.2203800494
4.0,AL,Blount County,0.814,22808,2150,426,25384,89.9,8.5,1.7,882.0,57826.0,33.95194386,-86.582932,40.71778705,47.72738963,47.72738963,612.0436354,-35.5113961735,0.619790785208,35.5113961735
5.0,AL,Bullock County,-0.509,1139,3530,32,4701,24.2,75.1,0.7,2397.0,10474.0,32.1174995,-85.7235275,44.92206303,195.3690473,195.3690473,565.9198783,120.597243176,2.10481896226,120.597243176
6.0,AL,Butler County,0.135,4891,3716,78,8685,56.3,42.8,0.8,1825.0,20307.0,31.6921958,-86.7032796,73.35167088,126.3342476,211.2461874,593.8028048,82.2413801114,-1.43538286433,-82.2413801114
7.0,AL,Calhoun County,0.413,32803,13197,1376,47376,69.2,27.9,3.0,518.0,117296.0,33.7732412,-85.8452838,0.0,96.7080816,96.7080816,665.7207832,65.606570045,1.14505065822,65.606570045
8.0,AL,Chambers County,0.148,7803,5763,212,13778,56.6,41.8,1.5,1327.0,34064.0,32.8801192,-85.3072474,31.53198823,122.9519201,122.9519201,601.3413838,-81.4889586248,-1.42225063202,-81.4889586248
9.0,AL,Cherokee County,0.694,8809,1524,170,10503,83.9,14.5,1.6,1562.0,26021.0,34.1930998,-85.6118958,51.32240836,97.01416511,97.01416511,641.1674592,46.0524163943,-0.80376629458,-46.0524163943
10.0,AL,Chilton County,0.666,15068,2909,278,18255,82.5,15.9,1.5,1090.0,43819.0,32.84193383,-86.751174,46.99184135,83.88072493,83.88072493,690.9074289,-48.2409115318,-0.841962740393,-48.2409115318
11.0,AL,Choctaw County,0.136,4102,3109,57,7268,56.4,42.8,0.8,2206.0,13633.0,32.06983425,-88.21425163,143.8467624,154.2905469,210.8257092,715.6585662,-82.1835509914,1.43437355578,82.1835509914
12.0,AL,Clarke County,0.108,7109,5712,115,12936,55.0,44.2,0.9,1601.0,25161.0,31.70306033,-87.85249967,117.951757,117.951757,229.0442653,677.8059315,83.7999628675,1.46258526509,83.7999628675
13.0,AL,Clay County,0.608,5230,1234,108,6572,79.6,18.8,1.6,2217.0,13435.0,33.24731133,-85.862191,58.35390942,100.8452054,100.8452054,665.6967388,-52.5549699868,-0.917257264557,-52.5549699868
14.0,AL,Cleburne County,0.773,5738,684,110,6532,87.8,10.5,1.7,2122.0,14832.0,33.6815862,-85.4502488,35.81223272,81.63698759,81.63698759,695.2937545,-39.375944095,0.68723987054,39.375944095
15.0,AL,Coffee County,0.567,15825,4194,494,20513,77.1,20.4,2.4,965.0,51252.0,31.3851404,-86.009877,76.15844265,148.9509838,257.6125912,523.1752633,-55.4587095415,-0.967937080406,-55.4587095415
16.0,AL,Colbert County,0.383,16718,7296,612,24626,67.9,29.6,2.5,918.0,54446.0,34.7053682,-87.7199112,82.80272991,107.8931011,146.4857823,488.4905662,-67.4803661879,1.17775457043,67.4803661879
17.0,AL,Conecuh County,0.053,3413,3069,61,6543,52.2,46.9,1.0,2241.0,12981.0,31.4245755,-87.098293,83.51268702,84.09513622,241.3642354,602.3434993,86.9619002151,1.51777148254,86.9619002151
18.0,AL,Coosa County,0.305,3376,1780,67,5223,64.6,34.1,1.3,2362.0,10966.0,32.9465996,-86.1511956,59.62849602,97.74516608,97.74516608,659.0009234,-72.2418360934,1.26085789752,72.2418360934
19.0,AL,Covington County,0.686,13222,2379,217,15818,83.6,15.0,1.3,1225.0,37955.0,31.173474,-86.4292676,61.89410562,102.6296711,271.3332774,535.7096467,46.6856976853,0.8148191382,46.6856976853
20.0,AL,Crenshaw County,0.456,4511,1663,78,6252,72.2,26.6,1.2,2169.0,14083.0,31.71421375,-86.318535,54.07099395,149.5696643,214.4830209,569.8173567,-62.8707055354,-1.09730081464,-62.8707055354
21.0,AL,Cullman County,0.778,32734,3730,814,37278,87.8,10.0,2.2,686.0,80440.0,34.1240178,-86.8532274,39.31267988,59.00954844,59.00954844,582.9413484,38.9221797183,0.679320188137,38.9221797183
22.0,AL,Dale County,0.504,13798,4408,411,18617,74.1,23.7,2.2,972.0,50444.0,31.38703911,-85.61845133,42.60730593,182.1492692,271.1627922,498.434714,-59.735007389,1.04257255764,59.735007389
23.0,AL,Dallas County,-0.376,5784,12826,120,18730,30.9,68.5,0.6,1115.0,42864.0,32.3308275,-87.124658,89.25293564,141.9647019,141.9647019,671.8943689,112.086132431,-1.95627205674,-112.086132431
24.0,AL,DeKalb County,0.694,21779,3682,625,26086,83.5,14.1,2.4,752.0,71080.0,34.46109285,-85.82489254,55.74195525,74.53156431,126.8259832,605.7110258,-46.0524163943,0.80376629458,46.0524163943
25.0,AL,Elmore County,0.519,27619,8436,850,36905,74.8,22.9,2.3,685.0,80629.0,32.60650078,-86.18647956,46.2155365,126.3564676,126.3564676,634.790788,-58.7348026485,-1.02511569173,-58.7348026485
