State,County,Votes_Norm,Trump_Votes,Hillary_Votes,Independent_Votes,Total_Votes,Trump_Perc,Hillary_Perc,Independent_Perc
alabama,Autauga County,0.49400000000000005,18110.0,5908.0,643.0,24661.0,73.4,24.0,2.6
alabama,Baldwin County,0.5780000000000001,72780.0,18409.0,2901.0,94090.0,77.4,19.6,3.1
alabama,Barbour County,0.055999999999999946,5431.0,4848.0,111.0,10390.0,52.3,46.7,1.1
alabama,Bibb County,0.556,6733.0,1874.0,141.0,8748.0,77.0,21.4,1.6
alabama,Blount County,0.8140000000000001,22808.0,2150.0,426.0,25384.0,89.9,8.5,1.7
alabama,Bullock County,-0.5089999999999999,1139.0,3530.0,32.0,4701.0,24.2,75.1,0.7
alabama,Butler County,0.135,4891.0,3716.0,78.0,8685.0,56.3,42.8,0.8
alabama,Calhoun County,0.41300000000000003,32803.0,13197.0,1376.0,47376.0,69.2,27.9,3.0
alabama,Chambers County,0.14800000000000005,7803.0,5763.0,212.0,13778.0,56.6,41.8,1.5
alabama,Cherokee County,0.6940000000000001,8809.0,1524.0,170.0,10503.0,83.9,14.5,1.6
alabama,Chilton County,0.6659999999999999,15068.0,2909.0,278.0,18255.0,82.5,15.9,1.5
alabama,Choctaw County,0.136,4102.0,3109.0,57.0,7268.0,56.4,42.8,0.8
alabama,Clarke County,0.10799999999999997,7109.0,5712.0,115.0,12936.0,55.0,44.2,0.9
alabama,Clay County,0.608,5230.0,1234.0,108.0,6572.0,79.6,18.8,1.6
alabama,Cleburne County,0.773,5738.0,684.0,110.0,6532.0,87.8,10.5,1.7
alabama,Coffee County,0.567,15825.0,4194.0,494.0,20513.0,77.1,20.4,2.4
alabama,Colbert County,0.38300000000000006,16718.0,7296.0,612.0,24626.0,67.9,29.6,2.5
alabama,Conecuh County,0.05300000000000004,3413.0,3069.0,61.0,6543.0,52.2,46.9,1.0
alabama,Coosa County,0.30499999999999994,3376.0,1780.0,67.0,5223.0,64.6,34.1,1.3
alabama,Covington County,0.6859999999999999,13222.0,2379.0,217.0,15818.0,83.6,15.0,1.3
alabama,Crenshaw County,0.456,4511.0,1663.0,78.0,6252.0,72.2,26.6,1.2
alabama,Cullman County,0.778,32734.0,3730.0,814.0,37278.0,87.8,10.0,2.2
alabama,Dale County,0.5039999999999999,13798.0,4408.0,411.0,18617.0,74.1,23.7,2.2
alabama,Dallas County,-0.376,5784.0,12826.0,120.0,18730.0,30.9,68.5,0.6
alabama,DeKalb County,0.6940000000000001,21779.0,3682.0,625.0,26086.0,83.5,14.1,2.4
alabama,Elmore County,0.519,27619.0,8436.0,850.0,36905.0,74.8,22.9,2.3
alabama,Escambia County,0.36699999999999994,10282.0,4698.0,233.0,15213.0,67.6,30.9,1.5
