,index,state,county,latitude,longitude
0,0,AL,Autauga,32.524787375,-86.637706375
1,1,AL,Baldwin,30.5872017692,-87.7190561154
2,2,AL,Barbour,31.8161686,-85.4180688
3,3,AL,Bibb,33.032728375,-87.080730625
4,4,AL,Blount,33.9519438571,-86.582932
5,5,AL,Bullock,32.10515375,-85.71408825
6,6,AL,Butler,31.6921958,-86.7032796
7,7,AL,Calhoun,33.7673052941,-85.8300413529
8,8,AL,Chambers,32.8801192,-85.3072474
9,9,AL,Cherokee,34.1930998,-85.6118958
10,10,AL,Chilton,32.8482811429,-86.7365678571
11,11,AL,Choctaw,32.0519413636,-88.2105660909
12,12,AL,Clarke,31.6621173571,-87.848348
13,13,AL,Clay,33.2473113333,-85.862191
14,14,AL,Cleburne,33.6815862,-85.4502488
15,15,AL,Coffee,31.3705865,-85.9921708333
16,16,AL,Colbert,34.7139988333,-87.7610218333
17,17,AL,Conecuh,31.4386986667,-87.0804243333
18,18,AL,Coosa,32.9465996,-86.1511956
19,19,AL,Covington,31.206252,-86.435104625
20,20,AL,Crenshaw,31.71421375,-86.318535
21,21,AL,Cullman,34.133397,-86.8557109231
22,22,AL,Dale,31.3891224,-85.616952
23,23,AL,Dallas,32.3533043,-87.1081816
24,24,AL,De Kalb,34.4643892143,-85.822961
25,25,AL,Elmore,32.6020686,-86.1777687
26,26,AL,Escambia,31.1087695714,-87.3058398571
27,27,AL,Etowah,34.0146128182,-86.0618324545
28,28,AL,Fayette,33.7203974,-87.776232
29,29,AL,Franklin,34.4227255714,-87.8779805714
30,30,AL,Geneva,31.1180497778,-85.7916264444
31,31,AL,Greene,32.781917,-87.9292523333
32,32,AL,Hale,32.7223866667,-87.6409386667
33,33,AL,Henry,31.4573675,-85.25104575
34,34,AL,Houston,31.1691548333,-85.2940904167
35,35,AL,Jackson,34.7675006316,-85.9899556316
36,36,AL,Jefferson,33.541091619,-86.8802047429
37,37,AL,Lamar,33.7972826667,-88.081859
38,38,AL,Lauderdale,34.8931821818,-87.617946
