,STNAME,CTYNAME,COUNTY,POPESTIMATE2015
1,Alabama,Baldwin,1.0,55347.0
2,Alabama,Barbour,3.0,203709.0
3,Alabama,Bibb,5.0,26489.0
4,Alabama,Blount,7.0,22583.0
5,Alabama,Bullock,9.0,57673.0
6,Alabama,Butler,11.0,10696.0
7,Alabama,Calhoun,13.0,20154.0
8,Alabama,Chambers,15.0,115620.0
9,Alabama,Cherokee,17.0,34123.0
10,Alabama,Chilton,19.0,25859.0
11,Alabama,Choctaw,21.0,43943.0
12,Alabama,Clarke,23.0,13170.0
13,Alabama,Clay,25.0,24675.0
14,Alabama,Cleburne,27.0,13555.0
15,Alabama,Coffee,29.0,15018.0
16,Alabama,Colbert,31.0,51211.0
17,Alabama,Conecuh,33.0,54354.0
18,Alabama,Coosa,35.0,12672.0
19,Alabama,Covington,37.0,10724.0
20,Alabama,Crenshaw,39.0,37835.0
21,Alabama,Cullman,41.0,13963.0
22,Alabama,Dale,43.0,82005.0
23,Alabama,Dallas,45.0,49565.0
24,Alabama,DeKalb,47.0,41131.0
25,Alabama,Elmore,49.0,71130.0
26,Alabama,Escambia,51.0,81468.0
27,Alabama,Etowah,53.0,37789.0
28,Alabama,Fayette,55.0,103057.0
29,Alabama,Franklin,57.0,16759.0
30,Alabama,Geneva,59.0,31696.0
31,Alabama,Greene,61.0,26777.0
32,Alabama,Hale,63.0,8479.0
33,Alabama,Henry,65.0,15068.0
34,Alabama,Houston,67.0,17221.0
35,Alabama,Jackson,69.0,104173.0
36,Alabama,Jefferson,71.0,52419.0
37,Alabama,Lamar,73.0,660367.0
38,Alabama,Lauderdale,75.0,13886.0
39,Alabama,Lawrence,77.0,92596.0
40,Alabama,Lee,79.0,33115.0
41,Alabama,Limestone,81.0,156993.0
42,Alabama,Lowndes,83.0,91663.0
43,Alabama,Macon,85.0,10458.0
44,Alabama,Madison,87.0,19105.0
45,Alabama,Marengo,89.0,353089.0
46,Alabama,Marion,91.0,20028.0
47,Alabama,Marshall,93.0,30168.0
48,Alabama,Mobile,95.0,94725.0
49,Alabama,Monroe,97.0,415395.0
50,Alabama,Montgomery,99.0,21673.0
51,Alabama,Morgan,101.0,226519.0
52,Alabama,Perry,103.0,119565.0
53,Alabama,Pickens,105.0,9652.0
54,Alabama,Pike,107.0,20864.0
55,Alabama,Randolph,109.0,33046.0
56,Alabama,Russell,111.0,22696.0
57,Alabama,St. Clair,113.0,59660.0
58,Alabama,Shelby,115.0,87074.0
59,Alabama,Sumter,117.0,208713.0
60,Alabama,Talladega,119.0,13103.0
61,Alabama,Tallapoosa,121.0,80862.0
